microrregion_code,microrregion_name,uf,macroregion,start_year,end_year,homicides_start,population_start,rate_start_per_100k,homicides_end,population_end,rate_end_per_100k,delta_rate_per_100k,rate_average_2015_2017_per_100k,rate_average_2022_2024_per_100k,delta_average_rate_per_100k,visual_scale_limit,visual_value_clipped,visually_clipped
41027,Pato Branco,PR,Sul,2016,2024,26,169315.0,15.355993266987568,22,196842.0,11.17647656496073,-4.179516702026838,14.1751816195145,13.638878746051846,-0.5363028734626543,45.0,-4.179516702026838,0
41028,Pitanga,PR,Sul,2016,2024,8,73952.0,10.817827780181739,12,72521.0,16.546931233711614,5.729103453529875,14.423120261779633,16.17001617001617,1.7468959082365352,45.0,5.729103453529875,0
41029,Guarapuava,PR,Sul,2016,2024,116,398317.0,29.122533057840865,82,398554.0,20.574376370579646,-8.54815668726122,31.048025688684543,22.68751378287626,-8.360511905808284,45.0,-8.54815668726122,0
41030,Palmas,PR,Sul,2016,2024,24,96263.0,24.931697536956047,26,92018.0,28.25534134625834,3.3236438093022933,23.208124922062268,34.69787283777466,11.489747915712393,45.0,3.3236438093022933,0
41031,Prudentópolis,PR,Sul,2016,2024,13,138160.0,9.409380428488708,13,132925.0,9.7799511002445,0.3705706717557913,13.511622408060648,13.167673867105252,-0.3439485409553953,45.0,0.3705706717557913,0
41032,Irati,PR,Sul,2016,2024,8,103719.0,7.713148024952034,4,103419.0,3.8677612430984634,-3.8453867818535703,8.35620576835312,9.447669683405332,1.091463915052211,45.0,-3.8453867818535703,0
41033,União da Vitória,PR,Sul,2016,2024,29,123337.0,23.51281448389372,20,114553.0,17.459167372308016,-6.053647111585704,18.644415862344765,18.73563723122411,0.09122136887934573,45.0,-6.053647111585704,0
41034,São Mateus do Sul,PR,Sul,2016,2024,4,67397.0,5.934982269240471,8,64407.0,12.421010138649526,6.486027869409056,9.892126362022148,10.456122190243915,0.563995828221767,45.0,6.486027869409056,0
41035,Cerro Azul,PR,Sul,2016,2024,6,29908.0,20.061522000802462,7,28340.0,24.700070571630203,4.638548570827741,30.09228300120369,21.266415014089,-8.825867987114691,45.0,4.638548570827741,0
41036,Lapa,PR,Sul,2016,2024,17,52623.0,32.305265758318605,8,49956.0,16.014092401313157,-16.291173357005448,23.437895910403892,18.844369066968177,-4.593526843435715,45.0,-16.291173357005448,0
41037,Curitiba,PR,Sul,2016,2024,1238,3362636.0,36.81635478832678,580,3522146.0,16.46723332877172,-20.349121459555057,34.58819036848269,18.657395851044715,-15.930794517437977,45.0,-20.349121459555057,0
41038,Paranaguá,PR,Sul,2016,2024,113,289169.0,39.0774944755489,128,312589.0,40.94833791336227,1.8708434378133703,38.15746698975628,41.0427463460555,2.885279356299222,45.0,1.8708434378133703,0
41039,Rio Negro,PR,Sul,2016,2024,13,97536.0,13.328412073490814,7,101585.0,6.890781119259733,-6.43763095423108,13.329232031169896,15.641327715767124,2.312095684597228,45.0,-6.43763095423108,0
42001,São Miguel do Oeste,SC,Sul,2016,2024,15,179680.0,8.348174532502226,12,190692.0,6.292870178088226,-2.055304354414,10.388800872659273,6.385237331290058,-4.003563541369215,45.0,-2.055304354414,0
42002,Chapecó,SC,Sul,2016,2024,76,439032.0,17.31081105705279,50,530474.0,9.425532636849308,-7.8852784202034805,15.564935010701841,9.31311869181726,-6.251816318884581,45.0,-7.8852784202034805,0
