year,microrregion_code,microrregion_name,uf,macroregion,homicide_count,population,homicide_rate_per_100k,percentile_unweighted,bubble_area_points2
2024,31039,Ipatinga,MG,Sudeste,118,549620.0,21.469378843564645,60.39426523297491,73.28266666666667
2024,28003,Nossa Senhora das Dores,SE,Nordeste,14,65165.0,21.48392542008747,60.57347670250896,8.688666666666666
2024,26007,Vale do Ipanema,PE,Nordeste,43,200052.0,21.494411453022213,60.75268817204301,26.6736
2024,33013,Baía da Ilha Grande,RJ,Sudeste,49,226734.0,21.611227253080703,60.93189964157706,30.2312
2024,52012,Entorno de Brasília,GO,Centro-Oeste,308,1423379.0,21.638650001159213,61.111111111111114,189.78386666666665
2024,43015,Vacaria,RS,Sul,36,165391.0,21.766601568404568,61.29032258064516,22.052133333333334
2024,51010,Canarana,MT,Centro-Oeste,32,145829.0,21.943509178558447,61.46953405017921,19.44386666666667
2024,51004,Parecis,MT,Centro-Oeste,29,132080.0,21.956390066626287,61.64874551971326,17.610666666666667
2024,26010,Médio Capibaribe,PE,Nordeste,56,252151.0,22.208914499645054,61.82795698924731,33.620133333333335
2024,17005,Gurupi,TO,Norte,33,148412.0,22.23539875481767,62.007168458781365,19.788266666666665
2024,43010,Passo Fundo,RS,Sul,83,372720.0,22.26872719467697,62.18637992831541,49.696
2024,12004,Rio Branco,AC,Norte,108,484131.0,22.30801167452611,62.365591397849464,64.5508
2024,50003,Alto Taquari,MS,Centro-Oeste,29,129550.0,22.385179467387108,62.54480286738351,17.273333333333333
2024,26006,Itaparica,PE,Nordeste,32,142769.0,22.413829332698274,62.72401433691756,19.035866666666667
2024,52011,Vão do Paranã,GO,Centro-Oeste,25,111479.0,22.425748347222346,62.903225806451616,14.863866666666667
2024,23030,Caririaçu,CE,Nordeste,13,57969.0,22.42577929583053,63.08243727598566,7.7292
2024,41015,Cornélio Procópio,PR,Sul,38,168902.0,22.498253425063055,63.261648745519715,22.520266666666668
2024,29023,Seabra,BA,Nordeste,63,278550.0,22.617124394184167,63.44086021505376,37.14
2024,27001,Serrana do Sertão Alagoano,AL,Nordeste,19,83660.0,22.71097298589529,63.62007168458781,11.154666666666667
2024,11005,Alvorada D'Oeste,RO,Norte,15,65562.0,22.87910679967054,63.799283154121866,8.7416
2024,15011,Cametá,PA,Norte,123,536716.0,22.917147988880526,63.97849462365591,71.56213333333334
2024,52018,Quirinópolis,GO,Centro-Oeste,27,116697.0,23.13684156405049,64.15770609318996,15.5596
2024,32013,Itapemirim,ES,Sudeste,24,103427.0,23.20477244820018,64.33691756272401,13.790266666666666
2024,25010,Cariri Ocidental,PB,Nordeste,30,129240.0,23.212627669452182,64.51612903225806,17.232
2024,31015,Teófilo Otoni,MG,Sudeste,62,265576.0,23.3454830255746,64.69534050179212,35.410133333333334
2024,31002,Paracatu,MG,Sudeste,56,239301.0,23.401490173463547,64.87455197132617,31.9068
2024,13003,Alto Solimões,AM,Norte,66,281494.0,23.446325676568595,65.05376344086021,37.53253333333333
2024,31041,Aimorés,MG,Sudeste,36,153184.0,23.501148945059537,65.23297491039426,20.424533333333333
2024,31013,Pedra Azul,MG,Sudeste,19,80805.0,23.51339644823959,65.41218637992831,10.774
2024,31062,Viçosa,MG,Sudeste,54,228773.0,23.60418406018193,65.59139784946237,30.503066666666665
2024,15008,Castanhal,PA,Norte,83,350920.0,23.652114442038073,65.77060931899642,46.78933333333333
2024,31016,Nanuque,MG,Sudeste,26,109810.0,23.677260723067114,65.94982078853046,14.641333333333334
2024,29007,Bom Jesus da Lapa,BA,Nordeste,44,185629.0,23.703192927829164,66.12903225806451,24.750533333333333
2024,32003,Colatina,ES,Sudeste,53,221822.0,23.89303134946038,66.30824372759857,29.576266666666665
2024,17007,Jalapão,TO,Norte,18,73657.0,24.437595883622738,66.48745519713262,9.820933333333333
2024,52002,Rio Vermelho,GO,Centro-Oeste,22,89977.0,24.450692954866245,66.66666666666667,11.996933333333333
2024,24014,Borborema Potiguar,RN,Nordeste,33,134951.0,24.45332009396003,66.84587813620071,17.993466666666666
2024,33011,Vale do Paraíba Fluminense,RJ,Sudeste,181,739203.0,24.485831361615144,67.02508960573476,98.5604
2024,23027,Várzea Alegre,CE,Nordeste,24,97805.0,24.538622769797044,67.20430107526882,13.040666666666667
