microrregion_code,microrregion_name,uf,macroregion,year,homicide_count,population,homicide_rate_per_100k,percentile_unweighted,population_status,homicide_definition,sim_status
22011,São Raimundo Nonato,PI,Nordeste,2015,16,139257.0,11.489548101711225,21.863799283154123,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22012,Chapadas do Extremo Sul Piauiense,PI,Nordeste,2015,13,84591.0,15.36806516059628,34.587813620071685,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22013,Picos,PI,Nordeste,2015,23,204288.0,11.258615288220552,21.50537634408602,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22014,Pio IX,PI,Nordeste,2015,14,59522.0,23.520715029736905,55.913978494623656,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22015,Alto Médio Canindé,PI,Nordeste,2015,31,268311.0,11.553756648068845,22.22222222222222,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23001,Litoral de Camocim e Acaraú,CE,Nordeste,2015,54,379727.0,14.220742796798753,30.82437275985663,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23002,Ibiapaba,CE,Nordeste,2015,62,311344.0,19.91366462819261,46.59498207885304,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23003,Coreaú,CE,Nordeste,2015,9,58469.0,15.392772238280115,34.946236559139784,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23004,Meruoca,CE,Nordeste,2015,1,25995.0,3.8468936333910366,1.7921146953405018,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
23005,Sobral,CE,Nordeste,2015,142,404105.0,35.139382091288155,75.98566308243727,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
