crime,year,uf,reporting_status,months_present,months_numeric,count_reported,measurement_concept,value_field,raw_labels,definition_version_flag,comparability_class
Homicídio doloso,2019,MA,FULL_12_MONTHS,12,12,1350,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,MG,FULL_12_MONTHS,12,12,2662,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,MS,FULL_12_MONTHS,12,12,455,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,MT,FULL_12_MONTHS,12,12,804,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,PA,FULL_12_MONTHS,12,12,2758,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,PB,FULL_12_MONTHS,12,12,845,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,PE,FULL_12_MONTHS,12,12,3183,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,PI,FULL_12_MONTHS,12,12,472,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,PR,FULL_12_MONTHS,12,12,1691,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,RJ,FULL_12_MONTHS,12,12,4403,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,RN,FULL_12_MONTHS,12,12,1074,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,RO,FULL_12_MONTHS,12,12,361,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,RR,FULL_12_MONTHS,12,12,174,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,RS,FULL_12_MONTHS,12,12,1860,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,SC,FULL_12_MONTHS,12,12,642,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,SE,FULL_12_MONTHS,12,12,751,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,SP,FULL_12_MONTHS,12,12,2722,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,TO,FULL_12_MONTHS,12,12,417,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,AC,FULL_12_MONTHS,12,12,268,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,AL,FULL_12_MONTHS,12,12,1185,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,AM,FULL_12_MONTHS,12,12,944,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2020,AP,FULL_12_MONTHS,12,12,234,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
