iso3,country,region,subregion,year,homicide_rate_per_100k,percentile_unweighted,included_common_sample,inclusion_reason
SLV,El Salvador,Americas,Latin America and the Caribbean,2016,85.0858022421141,100.0,1,INCLUDED_OBSERVED_BOTH_YEARS
SMR,San Marino,Europe,Southern Europe,2016,,,0,MISSING_2016_AND_2024
SPM,Saint Pierre and Miquelon,Americas,Northern America,2016,,,0,MISSING_2016_AND_2024
SRB,Serbia,Europe,Southern Europe,2016,1.62782274638115,41.86046511627907,1,INCLUDED_OBSERVED_BOTH_YEARS
SSD,South Sudan,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
SUR,Suriname,Americas,Latin America and the Caribbean,2016,6.97567191883721,69.76744186046511,1,INCLUDED_OBSERVED_BOTH_YEARS
SVK,Slovakia,Europe,Eastern Europe,2016,1.10553043442371,29.069767441860463,1,INCLUDED_OBSERVED_BOTH_YEARS
SVN,Slovenia,Europe,Southern Europe,2016,0.485113562659451,6.976744186046512,1,INCLUDED_OBSERVED_BOTH_YEARS
SWE,Sweden,Europe,Northern Europe,2016,1.06819519352472,26.74418604651163,1,INCLUDED_OBSERVED_BOTH_YEARS
SWZ,Eswatini,Africa,Sub-Saharan Africa,2016,10.0912782213252,75.5813953488372,1,INCLUDED_OBSERVED_BOTH_YEARS
SYC,Seychelles,Africa,Sub-Saharan Africa,2016,10.926871909744,,0,MISSING_2024
SYR,Syrian Arab Republic,Asia,Western Asia,2016,,,0,MISSING_2016_AND_2024
TCA,Turks and Caicos Islands,Americas,Latin America and the Caribbean,2016,,,0,MISSING_2016
THA,Thailand,Asia,South-eastern Asia,2016,,,0,MISSING_2016_AND_2024
TJK,Tajikistan,Asia,Central Asia,2016,,,0,MISSING_2016_AND_2024
TKM,Turkmenistan,Asia,Central Asia,2016,,,0,MISSING_2016_AND_2024
TLS,Timor-Leste,Asia,South-eastern Asia,2016,,,0,MISSING_2016_AND_2024
TON,Tonga,Oceania,Polynesia,2016,,,0,MISSING_2016_AND_2024
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,2016,32.2193196226095,93.02325581395348,1,INCLUDED_OBSERVED_BOTH_YEARS
TUN,Tunisia,Africa,Northern Africa,2016,,,0,MISSING_2016_AND_2024
TUR,Türkiye,Asia,Western Asia,2016,3.31161155785991,53.48837209302326,1,INCLUDED_OBSERVED_BOTH_YEARS
TUV,Tuvalu,Oceania,Polynesia,2016,,,0,MISSING_2016_AND_2024
TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa,2016,6.38934150079073,68.6046511627907,1,INCLUDED_OBSERVED_BOTH_YEARS
UGA,Uganda,Africa,Sub-Saharan Africa,2016,11.5517988640576,80.23255813953489,1,INCLUDED_OBSERVED_BOTH_YEARS
UKR,Ukraine,Europe,Eastern Europe,2016,,,0,MISSING_2016_AND_2024
URY,Uruguay,Americas,Latin America and the Caribbean,2016,7.90108434244779,72.09302325581395,1,INCLUDED_OBSERVED_BOTH_YEARS
USA,United States of America,Americas,Northern America,2016,5.28982026159524,,0,MISSING_2024
UZB,Uzbekistan,Asia,Central Asia,2016,2.41972336009243,,0,MISSING_2024
VAT,Holy See,Europe,Southern Europe,2016,,,0,MISSING_2016
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,2016,37.6121901108149,95.34883720930233,1,INCLUDED_OBSERVED_BOTH_YEARS
VEN,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,2016,56.5792047678519,,0,MISSING_2024
VGB,British Virgin Islands,Americas,Latin America and the Caribbean,2016,,,0,MISSING_2016_AND_2024
VIR,United States Virgin Islands,Americas,Latin America and the Caribbean,2016,,,0,MISSING_2016_AND_2024
VNM,Viet Nam,Asia,South-eastern Asia,2016,,,0,MISSING_2016_AND_2024
VUT,Vanuatu,Oceania,Melanesia,2016,,,0,MISSING_2016_AND_2024
WSM,Samoa,Oceania,Polynesia,2016,,,0,MISSING_2016_AND_2024
XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,2016,2.15692969005204,,0,MISSING_2024
YEM,Yemen,Asia,Western Asia,2016,,,0,MISSING_2016_AND_2024
ZAF,South Africa,Africa,Sub-Saharan Africa,2016,33.2101800798263,94.18604651162791,1,INCLUDED_OBSERVED_BOTH_YEARS
ZMB,Zambia,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
ABW,Aruba,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2016_AND_2024
