microrregion_code,microrregion_name,uf,macroregion,start_year,end_year,rate_2016_per_100k,rate_2024_per_100k,delta_rate_2016_2024_per_100k,population_2016,population_2024,bubble_area_points2,population_weighted_fitted_delta,rate_average_2015_2017_per_100k,delta_average_2015_2017_to_2022_2024_per_100k
23020,Sertão de Inhamuns,CE,Northeast,2016,2024,32.00362707773548,25.96072212905987,-6.042904948675609,149983.0,142523.0,19.997733333333333,-10.953248297278362,29.782212018233825,-10.788656768949348
23021,Sertão de Senador Pompeu,CE,Northeast,2016,2024,38.89345874611065,34.432500507053945,-4.460958239056708,223688.0,212009.0,29.825066666666668,-14.378073108799951,45.153454686347416,-16.69683464537308
23022,Litoral de Aracati,CE,Northeast,2016,2024,22.307065333962505,39.38558487593541,17.078519541972902,116555.0,126950.0,15.540666666666667,-6.133242984382758,30.031661952172435,4.33176891424241
23023,Baixo Jaguaribe,CE,Northeast,2016,2024,78.08782440000488,38.99979139646462,-39.088033003540254,327836.0,330771.0,43.71146666666667,-33.86096360951415,76.26237102762019,-25.201286765529915
23024,Médio Jaguaribe,CE,Northeast,2016,2024,48.68090452261306,55.20069395158111,6.519789428968046,63680.0,63405.0,8.490666666666666,-19.24325541661281,47.63375401091912,4.216137879383616
23025,Serra do Pereiro,CE,Northeast,2016,2024,18.30328543973643,30.372412504088594,12.069127064352163,43708.0,42802.0,5.827733333333334,-4.143028218388265,16.015496899857386,10.012305525460569
23026,Iguatu,CE,Northeast,2016,2024,30.35019792664791,35.282391440491836,4.932193513843927,230641.0,226742.0,30.752133333333333,-10.131355186779013,32.519338166429634,-3.929327157030105
23027,Várzea Alegre,CE,Northeast,2016,2024,36.097463150506364,24.538622769797044,-11.55884038070932,99730.0,97805.0,13.297333333333333,-12.988228545153463,25.402937381759354,-8.086920065742039
23028,Lavras da Mangabeira,CE,Northeast,2016,2024,8.685380767092829,3.4849884124135286,-5.2003923546793,57568.0,57389.0,7.6757333333333335,0.637877926084693,15.633866428877488,-10.907787036651296
23029,Chapada do Araripe,CE,Northeast,2016,2024,51.61577621018754,28.522231494881844,-23.093544715305697,98807.0,94663.0,13.174266666666666,-20.702133058046932,41.15976059863836,-17.95508824861194
23030,Caririaçu,CE,Northeast,2016,2024,36.49825329787789,22.42577929583053,-14.072474002047358,57537.0,57969.0,7.6716,-13.187454898858428,31.863739064944095,-12.587306256455456
23031,Barro,CE,Northeast,2016,2024,20.376646218523444,16.421799391298634,-3.9548468272248094,93244.0,91342.0,12.432533333333334,-5.173662605440001,24.30985049441946,-6.531875183582674
