section,claim,value,display,source,calculation
4,"custos_judiciais: real growth, 1996--2025",208.55018321936578,"208,6",fig_11_judicial_costs.csv,100 * (end / start - 1)
4,custos_judiciais: real peak year,2025,2025,fig_11_judicial_costs.csv,Year with maximum reported real total
4,custos_judiciais: real peak level,73.73886514873999,"73,7",fig_11_judicial_costs.csv,Maximum reported total / 1e9
4,servicos_medicos: 2025 composition: Serviços médico-terapêuticos,100.0,"100,0",fig_12_medical_costs.csv,100 * component / component-group total
4,"servicos_medicos: real level, 1996",0.10252336793000001,"0,1",fig_12_medical_costs.csv,Reported total / 1e9
4,"servicos_medicos: real level, 2025",0.12001624184000001,"0,1",fig_12_medical_costs.csv,Reported total / 1e9
4,"servicos_medicos: GDP share, 1996",0.0021982582091231695,"0,0",fig_12_medical_costs.csv,100 * reported total / GDP
4,"servicos_medicos: GDP share, 2025",0.0009450097782677166,"0,0",fig_12_medical_costs.csv,100 * reported total / GDP
4,"servicos_medicos: real growth, 1996--2025",17.062328582439502,"17,1",fig_12_medical_costs.csv,100 * (end / start - 1)
4,servicos_medicos: real peak year,2012,2012,fig_12_medical_costs.csv,Year with maximum reported real total
4,servicos_medicos: real peak level,0.18741649811000002,"0,2",fig_12_medical_costs.csv,Maximum reported total / 1e9
4,total: 2025 composition: Serviços médico-terapêuticos,0.027305925142917735,"0,0",fig_13_total_costs.csv,100 * component / component-group total
4,total: 2025 composition: Encarceramento e auxílio-reclusão,3.0330403475575847,"3,0",fig_13_total_costs.csv,100 * component / component-group total
4,total: 2025 composition: Custos judiciais,16.776962026185704,"16,8",fig_13_total_costs.csv,100 * component / component-group total
4,total: 2025 composition: Perda de capacidade produtiva,6.636532978180457,"6,6",fig_13_total_costs.csv,100 * component / component-group total
4,total: 2025 composition: Seguros e perdas materiais,21.896485618708166,"21,9",fig_13_total_costs.csv,100 * component / component-group total
4,total: 2025 composition: Segurança privada,14.517326895211095,"14,5",fig_13_total_costs.csv,100 * component / component-group total
4,total: 2025 composition: Segurança pública,37.11234620901407,"37,1",fig_13_total_costs.csv,100 * component / component-group total
4,"total: real level, 1996",220.56388799758747,"220,6",fig_13_total_costs.csv,Reported total / 1e9
4,"total: real level, 2025",439.524539863936,"439,5",fig_13_total_costs.csv,Reported total / 1e9
4,"total: GDP share, 1996",4.729227952771371,"4,7",fig_13_total_costs.csv,100 * reported total / GDP
4,"total: GDP share, 2025",3.4608231485349292,"3,5",fig_13_total_costs.csv,100 * reported total / GDP
4,"total: real growth, 1996--2025",99.27311939148605,"99,3",fig_13_total_costs.csv,100 * (end / start - 1)
4,total: real peak year,2025,2025,fig_13_total_costs.csv,Year with maximum reported real total
4,total: real peak level,439.524539863936,"439,5",fig_13_total_costs.csv,Maximum reported total / 1e9
4.7,"Total measured cost, 1996",220.56388799758747,"220,6",fig_13_total_costs.csv,Reported accounting total / 1e9
4.7,"Total measured cost GDP share, 1996",4.729227952771371,"4,7",fig_13_total_costs.csv,100 * total / GDP
4.7,"Total measured cost, 2015",385.8595126007999,"385,9",fig_13_total_costs.csv,Reported accounting total / 1e9
4.7,"Total measured cost GDP share, 2015",3.868687553189285,"3,9",fig_13_total_costs.csv,100 * total / GDP
4.7,"Total measured cost, 2025",439.524539863936,"439,5",fig_13_total_costs.csv,Reported accounting total / 1e9
4.7,"Total measured cost GDP share, 2025",3.4608231485349292,"3,5",fig_13_total_costs.csv,100 * total / GDP
4.7,2025 total composition: Segurança pública,37.11234620901407,"37,1",fig_13_total_costs.csv,100 * component / seven-component total
4.7,2025 total composition: Seguros e perdas materiais,21.896485618708166,"21,9",fig_13_total_costs.csv,100 * component / seven-component total
4.7,2025 total composition: Custos judiciais,16.776962026185704,"16,8",fig_13_total_costs.csv,100 * component / seven-component total
